City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,stanley,54.868,-1.6985,285.77,94,75,0.0,GB,1686622894
147,neftegorsk,52.802,51.166,283.62,75,100,6.83,RU,1686622875
148,sao joao da barra,-21.6403,-41.0511,295.96,87,89,2.87,BR,1686622895
149,along,28.1667,94.7667,298.47,91,84,0.49,IN,1686622895
150,jamestown,42.097,-79.2353,286.92,79,100,4.12,US,1686622895
151,udachny,66.4167,112.4,289.51,33,19,7.02,RU,1686622896
152,sinabang,2.4803,96.3801,301.66,72,25,0.67,ID,1686622896
153,port pirie,-33.1833,138.0167,288.11,61,5,8.68,AU,1686622897
154,livorno,43.2333,10.5833,296.3,100,65,1.59,IT,1686622897
155,kodiak,57.79,-152.4072,286.88,47,20,6.17,US,1686622897
156,leninskoye,41.7589,69.3864,302.34,27,100,0.82,KZ,1686622898
157,casper,42.8666,-106.3131,287.99,79,0,1.54,US,1686622801
158,bethel,41.3712,-73.414,292.9,89,100,4.12,US,1686622898
159,tanout,14.9709,8.8879,303.35,44,5,3.6,NE,1686622899
160,ust-nera,64.5667,143.2,280.62,90,100,4.44,RU,1686622624
161,cape coast,5.1053,-1.2466,298.09,73,32,3.77,GH,1686622899
162,odessa,46.4775,30.7326,288.0,87,100,7.87,UA,1686622900
163,crane,31.3974,-102.3501,306.74,12,1,4.48,US,1686622900
164,waveland,30.2869,-89.3762,298.14,94,40,2.57,US,1686622902
165,puerto armuelles,8.2833,-82.8667,302.64,74,93,1.34,PA,1686622902
166,dunedin,-45.8742,170.5036,285.82,65,77,0.89,NZ,1686622615
167,acarau,-2.8856,-40.12,298.3,85,0,5.16,BR,1686622737
168,iskateley,67.6803,53.1512,281.49,68,69,3.86,RU,1686622904
169,mournies,35.4764,24.0092,293.61,88,20,0.0,GR,1686622904
170,kapa'a,22.0752,-159.319,301.14,79,20,6.69,US,1686622905
171,haiku-pauwela,20.9219,-156.3051,303.16,57,0,9.77,US,1686622905
172,hamilton,39.1834,-84.5333,288.55,72,20,2.06,US,1686622906
173,longyearbyen,78.2186,15.6401,276.06,75,75,5.14,SJ,1686622906
174,cabo san lucas,22.8909,-109.9124,303.32,39,0,2.57,MX,1686622828
175,alofi,-19.0595,-169.9187,296.09,94,100,6.17,NU,1686622907
176,sitges,41.2351,1.8119,296.47,84,94,2.1,ES,1686622907
177,tring,51.7947,-0.6582,289.17,84,8,2.91,GB,1686622907
178,tocache,-8.1842,-76.5125,294.4,98,37,0.46,PE,1686622908
179,nemuro,43.3236,145.575,285.2,97,100,4.61,JP,1686622803
180,hilo,19.7297,-155.09,302.0,64,0,3.58,US,1686622909
181,prince rupert,54.3161,-130.3201,286.98,84,100,8.23,CA,1686622839
182,hancheng,32.5186,112.3522,301.3,48,4,2.96,CN,1686622909
183,whakatane,-37.9585,176.9854,290.31,56,3,2.68,NZ,1686622910
184,cooper's town,26.8667,-77.5167,300.41,79,64,5.21,BS,1686622910
185,ajdabiya,30.7554,20.2263,294.4,81,0,4.06,LY,1686622911
186,laguna,38.421,-121.4238,298.77,57,100,5.14,US,1686622911
187,howrah,22.5892,88.3103,303.15,89,40,2.57,IN,1686622911
188,yarmouth,41.7057,-70.2286,292.18,90,100,4.12,US,1686622912
189,rajsamand,25.0667,73.8833,301.88,61,3,5.96,IN,1686622912
190,lompoc,34.6391,-120.4579,292.05,80,100,3.58,US,1686622912
191,rundu,-17.9333,19.7667,282.84,36,3,3.01,NA,1686622913
192,svetlyy,54.675,20.1347,285.91,85,100,3.31,RU,1686622913
193,marsa alam,25.0757,34.8918,303.17,41,0,1.51,EG,1686622913
194,barra da estiva,-13.6261,-41.3269,289.97,74,0,1.68,BR,1686622914
195,wamba,8.9333,8.6,295.48,93,100,1.76,NG,1686622914
196,sao jose da coroa grande,-8.8978,-35.1478,298.14,84,18,4.88,BR,1686622914
197,tarfaya,27.9358,-12.9218,294.79,84,2,5.77,MA,1686622915
198,saint-pierre,-21.3393,55.4781,295.13,73,0,2.57,RE,1686622915
199,uturoa,-16.7333,-151.4333,300.42,69,25,6.94,PF,1686622916
200,luderitz,-26.6481,15.1594,285.73,81,0,5.18,NA,1686622656
201,zulte,50.9195,3.4486,293.87,63,10,1.79,BE,1686622917
202,mega,4.05,38.3,287.01,70,100,4.13,ET,1686622917
203,piggs peak,-25.9667,31.25,286.09,83,0,2.65,SZ,1686622918
204,sechura,-5.5569,-80.8222,296.35,73,1,7.8,PE,1686622918
205,itaituba,-4.2761,-55.9836,298.01,86,59,0.62,BR,1686622918
